,apt_code,apt_name,X_Coord,Y_Coord,Count,bjdCode,도시형 생활주택,아파트,연립주택,주상복합,codeHallNm,분양,사택임대,영구국민임대,hoCnt,Priv/Ho,kaptDongCnt,kaptTarea,age,Temp_avg,Temp_min,Temp_max,kaptdaCnt,privArea,pblntfPclnd,Elec,Result
0,A63085232,마산삼계2,128.5035598,35.22941947,1,4812725028,0,1,0,0,복도식,0,1,0,385,47.33605195,5,27247.4654,23,13.975,9.283333333,19.525,385,18224.38,667900,576.7349881,4
1,A61108001,연산센트럴파크,129.0931654,35.18506721,2,2647010200,0,1,0,0,계단식,1,0,0,293,78.84726962,3,31068.47,29,13.975,9.283333333,19.525,293,23102.25,942200,114.1559805,4
2,A68380902,이화제일그린파크,129.338865,35.66562295,2,3120010600,0,1,0,0,계단식,1,0,0,180,76.595,1,16802.37,29,13.975,9.283333333,19.525,180,13787.1,546100,66.19599722,4
3,A45176505,안중현대3차,126.9205494,36.98784346,2,4122025330,0,1,0,0,계단식,1,0,0,418,84.996,6,52425.71,17,12.71666667,8.758333333,17.19166667,418,35528.328,1175000,550.0004344,4
4,A54032002,금당대림아파트,127.5298145,34.95207468,1,4615013300,0,1,0,0,계단식,1,0,0,280,106.3649,4,38683.815,27,14.16666667,10.1,18.8,280,29782.172,781100,73.13031658,4
5,A70437018,상인제림타운,128.5472128,35.81323456,2,2729011500,0,1,0,0,혼합식,1,0,0,435,66.81224138,3,46312,28,13.375,8.508333333,18.88333333,435,29063.325,2024000,475.0912304,1
7,A56585301,이서 하늘가,128.8936225,37.74256439,2,4571033026,0,1,0,0,복도식,1,0,0,402,44.22735224,3,28055.2448,17,13.56666667,9.275,18.74166667,402,17779.3956,235200,406.5829062,1
8,A21093206,노암3차한라아파트,127.4967759,37.24899267,2,4215012100,0,1,0,0,혼합식,1,0,0,496,59.18504032,5,45103.996,21,13.80833333,9.908333333,18.05,496,29355.78,480600,494.0374037,4
9,A46785502,현대5차,126.8484515,37.52137696,2,4150035026,0,1,0,0,계단식,1,0,0,296,72.75662162,4,26864.28,24,12.71666667,8.758333333,17.19166667,296,21535.96,531600,429.4101973,4
11,A15886402,신정대성유니드아파트2차,127.1112255,37.31930863,1,1147010100,0,1,0,0,계단식,1,0,0,186,72.1583871,2,21041.02,17,12.71666667,8.758333333,17.19166667,186,13421.46,3876000,584.4767137,4
12,A42925205,하중연성참이슬,126.8798226,37.45858649,2,4139011900,0,1,0,0,계단식,1,0,0,944,93.19614407,12,130154.9,22,12.71666667,8.758333333,17.19166667,944,87977.16,1341000,456.2085982,4
13,A44697610,동원로얄듀크,129.0142947,35.24260983,1,4146311800,0,1,0,0,계단식,1,0,0,706,100.6650785,13,113281.3546,15,12.71666667,8.758333333,17.19166667,706,71069.5454,3120000,531.5052501,0
14,A42385302,하안주공7단지,127.0447241,37.72323272,2,4121010300,0,1,0,0,복도식,1,0,0,1342,59.5028465,11,109787.44,31,12.71666667,8.758333333,17.19166667,1342,79852.82,4520000,455.0580556,1
15,A61679206,벽산강변타운아파트,127.0674362,37.89925658,2,2632010200,0,1,0,0,계단식,1,0,0,1044,81.30034483,12,118239.57,26,13.975,9.283333333,19.525,1044,84877.56,1340000,458.5456234,4
16,A48077201,신일유토빌,127.0615234,37.72533304,2,4115010200,0,1,0,0,계단식,1,0,0,1432,93.16449721,16,168862.44,18,12.71666667,8.758333333,17.19166667,1432,133411.56,1565000,520.485706,0
17,A48303004,동두천상우,126.8319978,37.6644497,2,4125010300,0,1,0,0,혼합식,1,0,0,252,78.66535714,2,25490,30,12.71666667,8.758333333,17.19166667,252,19823.67,607000,95.20331839,4
18,A48003001,삼환나우빌,129.0301483,35.11133203,1,4115010300,0,1,0,0,계단식,1,0,0,162,84.56642222,2,21543.627,13,12.71666667,8.758333333,17.19166667,162,13699.7604,1128000,703.2278097,5
19,A41280902,주교벽산,127.0797841,37.65071834,1,4128110100,0,1,0,0,계단식,1,0,0,283,83.89982332,3,40085.19,22,12.71666667,8.758333333,17.19166667,283,23743.65,2185000,532.4920207,4
20,A60011202,영주동금호타운,127.5844622,34.98401233,1,2611010100,0,1,0,0,계단식,1,0,0,322,72.66326087,1,34053.889,24,13.975,9.283333333,19.525,322,23397.57,950300,596.5808985,4
21,A13986111,중계라이프신동아청구아파트,128.6421374,35.92883511,2,1135010600,0,1,0,0,계단식,1,0,0,960,114.4724583,17,149833.22,28,12.71666667,8.758333333,17.19166667,960,109893.56,4368000,506.7335323,1
22,A54580101,광양삼익아파트,126.9650802,37.38706227,1,4623025022,0,1,0,0,계단식,1,0,0,206,84.96,2,21405.52,29,14.16666667,10.1,18.8,206,17501.76,214900,80.35406153,4
